headline,summary,categories,locations,names,url
"Cricket News Roundup: IPL Thrills, BCB Meetings, and International Series Updates","This news roundup covers various cricket updates, including the Chennai Super Kings' IPL victory over Mumbai Indians, a key BCB meeting regarding the T20I captaincy, and the removal of ODIs from the Bangladesh-Pakistan series. Other news includes updates on the Pakistan Super League, the Women's ODI World Cup qualifiers, and the England Women's cricket team captaincy change.","['Sports', 'Cricket', 'Bangladesh', 'World']","['Chennai', 'Mumbai', 'India', 'Bangladesh', 'Lahore', 'Pakistan', 'Australia', 'Kolkata', 'Eden Gardens', 'Dhaka', 'Sher-e-Bangla National Cricket Stadium']","['Noor Ahmad', 'Liton Das', 'Rachin Ravindra', 'Saleem Shahed', 'Ishan Kishan', 'Travis Head', 'Sami Ul Hasan', 'Jofra Archer', 'Nigar Sultana Joty', 'Rakib', 'Heather Knight', 'Jon Lewis', 'Shakib Al Hasan', 'Gareth Batty', 'Chennai Super Kings', 'Mumbai Indians', 'Rajasthan Royals', 'Sunrisers Hyderabad', 'Bangladesh Cricket Board (BCB)', 'Pakistan Cricket Board', 'England Cricket Board (ECB)', ""West Indies Players' Association"", 'Cricket West Indies', 'Kolkata Knight Riders (KKR)', 'Royal Challengers Bengaluru (RCB)', 'Mohammedan Sporting Club', 'Dhanmondi Sports Club']",https://www.thedailystar.net/sports/cricket?page=1
Stroke recurrence and long-term mortality,"A study using Danish national health registries assessed stroke recurrence and mortality rates for ischemic stroke (IS) and intracerebral hemorrhage (ICH). Recurrence rates were substantial for both, with higher mortality after recurrent strokes. The study highlights the need for preventative measures to reduce recurrence and mortality.",['Health'],['Denmark'],[],https://www.thedailystar.net/star-health/news/hiv-risk-factor-sudden-cardiac-death-2915566
,"Marina Abramović's 1974 performance art piece, Rhythm 0, where she allowed the audience to do whatever they wanted to her for six hours, highlights how society often blames victims for not fighting back against abuse. This essay draws parallels between the performance and real-life experiences of women facing domestic violence, street harassment, and workplace harassment, arguing that silence is not permission and that vulnerability should not be an invitation for harm.","['Life & Living', 'Opinion']",['Bangladesh'],['Marina Abramović'],https://www.thedailystar.net/life-living/news/why-do-we-blame-victims-instead-holding-abusers-accountable-3851301
Samayla Mahjabin Koishy,"This is a single name provided, no further context or information is available to create a summary.",[],[],['Samayla Mahjabin Koishy'],https://www.thedailystar.net/author/samayla-mahjabin-koishy
,[],[],[],['Shams Rahman'],https://www.thedailystar.net/author/shams-rahman
"AI Advances, Tech Updates, and TikTok Sale Talks Dominate Tech News","Recent tech news includes Adobe's launch of AI agents for online marketing, the US Commerce Department banning DeepSeek, Google unveiling its Gemma 3 AI model, and ongoing discussions regarding the potential sale of TikTok. Other updates cover new developer tools from OpenAI and changes to Google Sheets and YouTube.","['Technology', 'Business', 'Politics']",['US'],"['Adobe', 'DeepSeek', 'Google', 'OpenAI', 'Donald Trump', 'TikTok', 'Facebook', 'Microsoft', 'YouTube', 'Reuters', 'US Commerce Department']",https://www.thedailystar.net/tech-startup/apps
,"News photos depict Holi celebrations at Dhaka University, the polluted Buriganga River, a holiday market in Dhaka, a rally against gender-based violence, and the return of Lesser Whistling Ducks to Jahangirnagar University.","['Environment', 'Politics', 'Bangladesh', 'World']","['Dhaka', 'Bangladesh', 'Buriganga River', 'Motijheel', 'Central Shaheed Minar', 'Jatiya Press Club', 'Shegunbagicha', 'Jahangirnagar University', 'Transport Lake']",['Bangladesh Mahila Parishad'],https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250315-3848361
Tiger dies jumping off truck 'while being trafficked',"A tiger died after jumping from a moving truck during alleged trafficking in Jashore, Bangladesh. Several other environmental issues are reported, including a fire in the Sundarbans, river pollution, and air pollution in Dhaka.","['Environment', 'Bangladesh', 'Crime', 'World']","['Keshabpur upazila', 'Jashore', 'Sundarbans', 'Sutang river', 'coastal districts of Bangladesh', 'Dhaka', 'Sherpur', 'Somoschura', 'Mongla', 'Saint Martin’s Island', 'Tangail’s Ghatail upazila', 'Fatikchhari Hazarikhil Sanctuary']","['Ziaur Rahman', 'World Health Organization (WHO)', 'IQAir', 'National Heart Foundation']",https://www.thedailystar.net/environment
Dengue fatalities cross 450-mark,"The dengue death toll in Bangladesh has surpassed 450, marking only the second time in 24 years that fatalities from the mosquito-borne disease have crossed this threshold. With expected rain and thunderstorms, experts warn of a potential extension of the dengue season.","['Health', 'Bangladesh', 'World']","['Bangladesh', 'Dhaka', 'Monipur']","['Rajkumar Das', 'Saikat Kumar Das', 'Mujahidul Islam Shamim', 'DGHS', 'DSSC mayor']",https://www.thedailystar.net/tags/dengue-bangladesh
"Multiple Articles on Motherhood, Eid Gifting, and More","This collection of articles covers various topics related to motherhood, including Eid gift ideas, breastfeeding myths, overcoming mum guilt, balancing motherhood with higher education, and personal experiences. It also includes poetry and fiction pieces.","['Lifestyle', 'Family', 'Health', 'Opinion', 'Poetry', 'Fiction', 'Bangladesh']","['Port Louis', 'Mauritian', 'Palestine']",['Monoara'],https://www.thedailystar.net/tags/mother
Israel presses ground offensive in Gaza,"Israel launched a ground offensive in the Gaza Strip, encircling parts of Rafah city. The operation comes despite calls for a ceasefire and amid escalating conflicts in Lebanon and Yemen. The death toll in Gaza is reported to be over 50,000, while Israel reports over 1,200 deaths.","['World', 'Politics', 'War', 'Middle East']","['Gaza Strip', 'Rafah', 'Egypt', 'Khan Yunis', 'Gaza City', 'Tal al-Sultan', 'Beit Hanun', 'Al-Mawasi', 'Lebanon', 'Aita al-Shaab', 'Yemen', 'Jerusalem', 'occupied West Bank', 'Israel']","['Hamas', 'AFP', 'Iman al-Bardawil', 'Saed Abu al-Jidyan', 'Israel Katz', 'France', 'Britain', 'Germany', 'Kaja Kallas', 'European Union', 'Salah al-Bardawil', 'Ismail Barhoum', 'Hezbollah', 'Pope Francis', 'Netanyahu']",https://www.thedailystar.net/news/world/israels-attack-on-palestine/news/israel-presses-ground-offensive-gaza-3856076
,"This article suggests five day trip destinations near Dhaka, Bangladesh for families and friends on a budget. These locations offer various attractions including historical sites, scenic views, and delicious food, all within a reasonable travel cost of under Tk 15,000.","['Travel', 'Lifestyle', 'Bangladesh']","['Dhaka', 'Mawa', 'Bhanga', 'Buriganga River', 'Mawa Ghat', 'Padma River', 'Narayanganj', 'Sonargaon Upazila', 'Panam Nagar', 'Boro Sardar Bari', 'Munshiganj', 'Idrakpur Fort', 'Mymensingh', 'Muktagacha', 'Netrokona', 'Birishiri', 'Garo Hills', 'Shomeshwari River']","['Ibne Batuta', 'Phileas Fogg', 'John Denver']",https://www.thedailystar.net/life-living/travel/news/5-fun-day-trips-under-tk-15000-your-eid-holidays-3854801
"Various News Articles on Lifestyle, Entertainment, and Current Events in Bangladesh","This article compilation covers a range of topics including Ramadan dietary tips, Eid fashion and gadget trends, Bangladeshi cultural attractions, women entrepreneurs, day trips from Dhaka, and various entertainment news, including music releases and film updates. It also includes news on social initiatives, health directives, and political satire.","['Lifestyle', 'Entertainment', 'World', 'Bangladesh', 'Business', 'Technology', 'Health', 'Politics', 'Opinion', 'Satire', 'Sports']","['Bangladesh', 'Dhaka', 'Mawa Expressway', 'Padma Bridge', 'Mawa Ghat', 'Panam Nagar', 'Idrakpur Fort', 'Mymensingh', 'Namibia', 'Himba village', 'Madhya Pradesh', 'India', 'Central Asia', 'Khiva', 'Uzbekistan', 'Jaipur', 'Rajasthan', 'Chengdu', 'China', 'Netrakona', 'Brahmanbaria', 'Munshiganj', 'Bandarban', 'Gausia Market', 'Dhanmondi', 'Canada', 'Ottawa', 'Rohingya camp', 'Kolkata']","['Selim Al Deen', 'Jahangirnagar University', 'Metallica', 'Megan Thee Stallion', 'BTS', 'RM', 'J-Hope', 'Angie Stone', 'TasteAtlas', 'Shwapno', 'AKM Itmam', 'Vicky Zahed', 'Tanvir Hossain Probal', 'Rubayat Rehman', 'Ruslan Rehman', 'Rizvi Rizu', 'Shahjahan Shamrat', 'Shankha Dasgupta', 'Novera Rahman', 'Amitabh Reza Chowdhury', 'Zarin Mahmood', 'Mohammad Azaz', 'Anisur Rahman', 'M.N. Huda', 'Dhaka University', 'Kamruddin Ahmad', 'Satyendra Nath Bose', 'P. J. Hartog', 'H. H. Risley', 'Deepal', 'Changan Automobile', 'Revoo', 'Porsche', 'BYD', 'Avik Anwar', 'Mitsubishi', 'Tajuddin Ahmad']",https://www.thedailystar.net/feature
"News from Bangladesh: Violence Against Children, Business Appointments, and Retail Expansion","This news bulletin covers various events in Bangladesh, including UNICEF's statement on child violence, business appointments within various chambers of commerce, and retail expansion by Aarong. Other news includes partnerships facilitating mobile phone financing and promotional strategies for Asean markets.","['Politics', 'Business', 'Technology', 'World', 'Bangladesh', 'Health']","['Bangladesh', ""Cox's Bazar"", 'Dhaka', 'Banani', 'Asean']","['Rana Flowers', 'UNICEF', 'Nguyen Manh Cuong', 'Asean Dhaka Committee', 'Mahbubur Rahman', 'Nargis Murshida', 'Bangladesh China Chambers of Commerce and Industry (BCCCI)', 'commerce ministry', 'bKash', 'City Bank PLC', 'Salextra Limited', 'Abdur Rashid', 'SGS Bangladesh Limited', 'Switzerland-Bangladesh Chamber of Commerce and Industry (SBCCI)', 'Sheraton Dhaka', 'Tanvir Hossain', 'Aarong', 'Mohammad Shahjahan Chowdhury', 'Riverain Fish and Food Processing Industries Limited', 'Bangladesh Frozen Foods Exporters Association (BFFEA)', 'Shahab Uddin Khan', 'Zeeshan Group', 'Korea-Bangladesh Chamber of Commerce & Industry (KBCCI)', 'Dreamers Academy', 'Emerald International School (EISD)']",https://www.thedailystar.net/business/organisation-news
